Codigo da Conta;Descricao da Conta;Último Exercício 31/12/2025;Penúltimo Exercício 31/12/2024;Antepenúltimo Exercício 31/12/2023
2;Passivo Total;71.092.088;73.219.718;52.201.228
2.01;Passivo Circulante;26.200.867;27.347.016;17.746.077
2.01.02;Fornecedores;6.491.442;6.251.565;3.991.856
2.01.02.01;Fornecedores Nacionais;989.980;846.049;542.619
2.01.02.01.01;Fornecedores;808.917;719.764;453.670
2.01.02.01.02;Fornecedores - Acordos de financiamento;181.063;126.285;88.949
2.01.02.02;Fornecedores Estrangeiros;5.501.462;5.405.516;3.449.237
2.01.02.02.01;Fornecedores;5.336.298;5.263.775;3.356.257
2.01.02.02.02;Fornecedores - Acordos de financiamento;165.164;141.741;92.980
2.01.03;Obrigações Fiscais;476.479;1.055.536;1.153.099
2.01.03.01;Obrigações Fiscais Federais;471.652;1.046.413;1.144.603
2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;128.235;771.953;946.889
2.01.03.01.02;Outros;343.417;274.460;197.714
2.01.03.02;Obrigações Fiscais Estaduais;106,29459;0;228
2.01.03.03;Obrigações Fiscais Municipais;4.721,21392;9.123;8.268
2.01.04;Empréstimos e Financiamentos;579.650;704.419;615.117
2.01.04.01;Empréstimos e Financiamentos;579.650;704.419;615.117
2.01.04.01.01;Em Moeda Nacional;28.779;1.118;976
2.01.04.01.02;Em Moeda Estrangeira;550.871;703.301;614.141
2.01.05;Outras Obrigações;17.951.077;18.776.760;11.430.414
2.01.05.02;Outros;17.951.077;18.776.760;11.430.414
2.01.05.02.04;Contas a Pagar;3.356.903;2.227.804;1.608.797
2.01.05.02.09;Instrumentos Financeiros Derivativos;211.532;445.094;414.825
2.01.05.02.10;Receitas Diferidas;163.460;111.766;49.775
2.01.05.02.12;Passivos de contrato;14.105.034;15.873.343;9.290.401
2.01.05.02.13;Passivo de arrendamento;114.148;118.753;66.616
2.01.06;Provisões;702.219;558.736;555.591
2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;64.562;59.713;40.516
2.01.06.01.01;Provisões Fiscais;17.267;13.792;5.128
2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;39.580;38.585;35.377
2.01.06.01.03;Provisões para Benefícios a Empregados;7.715;7.336;0
2.01.06.01.04;Provisões Cíveis;0;0;11
2.01.06.02;Outras Provisões;637.657;499.023;515.075
2.01.06.02.01;Provisões para Garantias;100.912;154.601;131.258
2.01.06.02.04;Outras Provisões;536.745;344.422;383.817
2.02;Passivo Não Circulante;23.916.271;25.161.794;19.740.921
2.02.01;Empréstimos e Financiamentos;13.692.811;14.720.995;13.358.392
2.02.01.01;Empréstimos e Financiamentos;13.692.811;14.720.995;13.358.392
2.02.01.01.01;Em Moeda Nacional;401.730;145.531;83.576
2.02.01.01.02;Em Moeda Estrangeira;13.291.081;14.575.464;13.274.816
2.02.02;Outras Obrigações;7.480.613;6.312.040;3.981.213
2.02.02.02;Outros;7.480.613;6.312.040;3.981.213
2.02.02.02.03;Contas a Pagar;1.914.932;998.237;268.180
2.02.02.02.07;Impostos e Encargos Sociais a Recolher;66.607;57.054;88.540
2.02.02.02.08;Instrumentos Financeiros Derivativos;145.492;197.722;191.125
2.02.02.02.11;Passivos de contrato;4.796.623;4.465.669;3.010.648
2.02.02.02.12;Passivo de arrendamento;535.920;573.429;397.840
2.02.02.02.13;Imposto de renda e contribuição social;21.039;19.929;24.880
2.02.03;Tributos Diferidos;1.502.737;2.788.093;1.475.262
2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;1.502.737;2.788.093;1.475.262
2.02.04;Provisões;1.195.257;1.261.217;840.169
2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;408.092;407.228;474.293
2.02.04.01.01;Provisões Fiscais;52.108;50.609;100.254
2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;146.157;150.537;140.734
2.02.04.01.03;Provisões para Benefícios a Empregados;209.095;205.259;232.287
2.02.04.01.04;Provisões Cíveis;732;823;1.018
2.02.04.02;Outras Provisões;787.165;853.989;365.876
2.02.04.02.01;Provisões para Garantias;302.849;333.403;222.950
2.02.04.02.04;Provisão materiais de terceiros;293.859;274.612;138.298
2.02.04.02.05;Outros;190.457;245.974;4.628
2.02.06;Lucros e Receitas a Apropriar;44.853;79.449;85.885
2.02.06.02;Receitas a Apropriar;44.853;79.449;85.885
2.02.06.02.01;Receitas diferidas;44.853;79.449;85.885
2.03;Patrimônio Líquido Consolidado;20.974.950;20.710.908;14.714.230
2.03.01;Capital Social Realizado;5.159.617;5.159.617;5.159.617
2.03.02;Reservas de Capital;529.279;750.979;474.155
2.03.02.05;Ações em Tesouraria;-1.087.252;-87.103;-87.103
2.03.02.07;Remuneração baseada em ações;169.924;139.962;116.381
2.03.02.08;Resultado nas operações com acionistas não controladores;1.446.607;698.120;444.877
2.03.04;Reservas de Lucros;1.702.419;274.354;0
2.03.04.01;Reserva Legal;113.937;16.289;0
2.03.04.10;Subvenção para Investimentos;103.776;103.776;0
2.03.04.11;Reservas para Investimentos e Capital de Giro;1.484.706;154.289;0
2.03.05;Lucros/Prejuízos Acumulados;0;0;-1.593.066
2.03.06;Ajustes de Avaliação Patrimonial;11.562.542;12.860.256;9.449.606
2.03.06.02;Perda com benefícios pós-emprego;-76.865;-82.452;-114.113
2.03.06.03;Ajustes acumulados de conversão;11.627.033;13.021.410;9.511.427
2.03.06.04;Instrumentos Financeiros;12.374;-78.702;52.292
2.03.09;Participação dos Acionistas Não Controladores;2.021.093;1.665.702;1.223.918
