Codigo da Conta;Descricao da Conta;Último Exercício 01/01/2025 à 31/12/2025;Penúltimo Exercício 01/01/2024 à 31/12/2024;Antepenúltimo Exercício 01/01/2023 à 31/12/2023
3.01;Receita de Venda de Bens e/ou Serviços;41.883.234;35.424.174;26.110.517
3.02;Custo dos Bens e/ou Serviços Vendidos;-34.524.890;-29.041.940;-21.607.123
3.03;Resultado Bruto;7.358.344;6.382.234;4.503.394
3.04;Despesas/Receitas Operacionais;-4.010.230;-2.610.113;-2.980.785
3.04.01;Despesas com Vendas;-1.886.225;-1.671.416;-1.569.513
3.04.02;Despesas Gerais e Administrativas;-1.190.991;-1.074.842;-1.022.541
3.04.03;Perdas pela Não Recuperabilidade de Ativos;-20.919;-121.576;48.999
3.04.03.01;Reversão (perda) de crédito esperada;-20.919;-121.576;48.999
3.04.04;Outras Receitas Operacionais;510.364;1.455.864;844.167
3.04.05;Outras Despesas Operacionais;-1.383.736;-1.174.508;-1.331.878
3.04.05.01;Pesquisa;-412.569;-298.148;-452.755
3.04.05.02;Despesas Operacionais;-971.167;-876.360;-879.123
3.04.06;Resultado de Equivalência Patrimonial;-38.723;-23.635;49.981
3.05;Resultado Antes do Resultado Financeiro e dos Tributos;3.348.114;3.772.121;1.522.609
3.06;Resultado Financeiro;-1.892.471;-663.190;-963.748
3.06.01;Receitas Financeiras;1.793.800;1.106.500;941.303
3.06.01.01;Variações Monetárias Ativas;39.505;-542.388;105.573
3.06.01.02;Receitas Financeiras;1.754.295;1.648.888;835.730
3.06.02;Despesas Financeiras;-3.686.271;-1.769.690;-1.905.051
3.06.02.01;Variações Monetárias Passivas;-243.803;494.933;-140.944
3.06.02.02;Despesas Financeiras;-3.416.999;-2.280.153;-1.797.506
3.06.02.03;Instrumentos financeiros derivativos;-25.469;15.530;33.399
3.07;Resultado Antes dos Tributos sobre o Lucro;1.455.643;3.108.931;558.861
3.08;Imposto de Renda e Contribuição Social sobre o Lucro;536.394;-1.185.100;225.494
3.08.01;Corrente;536.394;-506.974;-537.767
3.08.02;Diferido;0;-678.126;763.261
3.09;Resultado Líquido das Operações Continuadas;1.992.037;1.923.831;784.355
3.11;Lucro/Prejuízo Consolidado do Período;1.992.037;1.923.831;784.355
