demonstrativo;codigo;descricao;nivel;ano;valor
BP;1;Ativo Total;1;2023;52201,2
BP;1;Ativo Total;1;2024;73219,7
BP;1;Ativo Total;1;2025;71092,1
BP;1.01;Ativo Circulante;2;2023;29316,1
BP;1.01;Ativo Circulante;2;2024;40326,9
BP;1.01;Ativo Circulante;2;2025;39342,8
BP;1.01.01;Caixa e Equivalentes de Caixa;3;2023;7887,3
BP;1.01.01;Caixa e Equivalentes de Caixa;3;2024;9678,7
BP;1.01.01;Caixa e Equivalentes de Caixa;3;2025;10728,8
BP;1.01.02;Aplicações Financeiras;3;2023;2525,8
BP;1.01.02;Aplicações Financeiras;3;2024;3961,5
BP;1.01.02;Aplicações Financeiras;3;2025;3720,2
BP;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;4;2023;820,6
BP;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;4;2024;844,9
BP;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;4;2025;1275,2
BP;1.01.02.01.02;Títulos Designados a Valor Justo;5;2023;820,6
BP;1.01.02.01.02;Títulos Designados a Valor Justo;5;2024;844,9
BP;1.01.02.01.02;Títulos Designados a Valor Justo;5;2025;1275,2
BP;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;4;2023;1696,9
BP;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;4;2024;209,1
BP;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;4;2025;179,2
BP;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;4;2023;8,2
BP;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;4;2024;2907,4
BP;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;4;2025;2265,8
BP;1.01.03;Contas a Receber;3;2023;1094,0
BP;1.01.03;Contas a Receber;3;2024;2061,9
BP;1.01.03;Contas a Receber;3;2025;1594,7
BP;1.01.03.01;Clientes;4;2023;1094,0
BP;1.01.03.01;Clientes;4;2024;2061,9
BP;1.01.03.01;Clientes;4;2025;1594,7
BP;1.01.03.01.01;Contas a receber;5;2023;1053,6
BP;1.01.03.01.01;Contas a receber;5;2024;1986,2
BP;1.01.03.01.01;Contas a receber;5;2025;1592,5
BP;1.01.03.01.02;Financiamento a clientes;5;2023;40,4
BP;1.01.03.01.02;Financiamento a clientes;5;2024;75,7
BP;1.01.03.01.02;Financiamento a clientes;5;2025;2,3
BP;1.01.04;Estoques;3;2023;12761,7
BP;1.01.04;Estoques;3;2024;18181,1
BP;1.01.04;Estoques;3;2025;17976,7
BP;1.01.06;Tributos a Recuperar;3;2023;1335,8
BP;1.01.06;Tributos a Recuperar;3;2024;1421,9
BP;1.01.06;Tributos a Recuperar;3;2025;1008,2
BP;1.01.06.01;Tributos Correntes a Recuperar;4;2023;1335,8
BP;1.01.06.01;Tributos Correntes a Recuperar;4;2024;1421,9
BP;1.01.06.01;Tributos Correntes a Recuperar;4;2025;1008,2
BP;1.01.07;Despesas Antecipadas;3;2023;241,2
BP;1.01.07;Despesas Antecipadas;3;2024;363,7
BP;1.01.07;Despesas Antecipadas;3;2025;513,7
BP;1.01.08;Outros Ativos Circulantes;3;2023;3470,3
BP;1.01.08;Outros Ativos Circulantes;3;2024;4658,1
BP;1.01.08;Outros Ativos Circulantes;3;2025;3800,5
BP;1.01.08.03;Outros;4;2023;3470,3
BP;1.01.08.03;Outros;4;2024;4658,1
BP;1.01.08.03;Outros;4;2025;3800,5
BP;1.01.08.03.01;Outros ativos;5;2023;920,9
BP;1.01.08.03.01;Outros ativos;5;2024;720,5
BP;1.01.08.03.01;Outros ativos;5;2025;945,9
BP;1.01.08.03.02;Instrumentos financeiros derivativos;5;2023;84,8
BP;1.01.08.03.02;Instrumentos financeiros derivativos;5;2024;81,8
BP;1.01.08.03.02;Instrumentos financeiros derivativos;5;2025;47,6
BP;1.01.08.03.04;Ativos de contrato;5;2023;2464,6
BP;1.01.08.03.04;Ativos de contrato;5;2024;3855,8
BP;1.01.08.03.04;Ativos de contrato;5;2025;2807,0
BP;1.02;Ativo Não Circulante;2;2023;22885,1
BP;1.02;Ativo Não Circulante;2;2024;32892,8
BP;1.02;Ativo Não Circulante;2;2025;31749,3
BP;1.02.01;Ativo Realizável a Longo Prazo;3;2023;2465,1
BP;1.02.01;Ativo Realizável a Longo Prazo;3;2024;4454,0
BP;1.02.01;Ativo Realizável a Longo Prazo;3;2025;4299,4
BP;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;4;2023;0,0
BP;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;4;2024;848,9
BP;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;4;2025;581,0
BP;1.02.01.01.01;Títulos Designados a Valor Justo;5;2023;0,0
BP;1.02.01.01.01;Títulos Designados a Valor Justo;5;2024;848,9
BP;1.02.01.01.01;Títulos Designados a Valor Justo;5;2025;581,0
BP;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;4;2023;0,0
BP;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;4;2024;430,2
BP;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;4;2025;417,3
BP;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;4;2023;823,3
BP;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;4;2024;877,5
BP;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;4;2025;590,5
BP;1.02.01.04;Contas a Receber;4;2023;279,5
BP;1.02.01.04;Contas a Receber;4;2024;137,3
BP;1.02.01.04;Contas a Receber;4;2025;51,3
BP;1.02.01.04.01;Clientes;5;2023;16,3
BP;1.02.01.04.01;Clientes;5;2024;12,5
BP;1.02.01.04.01;Clientes;5;2025;9,4
BP;1.02.01.04.03;Financiamento a clientes;5;2023;263,2
BP;1.02.01.04.03;Financiamento a clientes;5;2024;124,8
BP;1.02.01.04.03;Financiamento a clientes;5;2025;41,9
BP;1.02.01.07;Tributos Diferidos;4;2023;666,6
BP;1.02.01.07;Tributos Diferidos;4;2024;1077,6
BP;1.02.01.07;Tributos Diferidos;4;2025;649,9
BP;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;5;2023;666,6
BP;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;5;2024;1077,6
BP;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;5;2025;649,9
BP;1.02.01.08;Despesas Antecipadas;4;2023;81,0
BP;1.02.01.08;Despesas Antecipadas;4;2024;110,5
BP;1.02.01.08;Despesas Antecipadas;4;2025;88,4
BP;1.02.01.10;Outros Ativos Não Circulantes;4;2023;614,7
BP;1.02.01.10;Outros Ativos Não Circulantes;4;2024;972,0
BP;1.02.01.10;Outros Ativos Não Circulantes;4;2025;1920,8
BP;1.02.01.10.03;Tributos a recuperar;5;2023;245,5
BP;1.02.01.10.03;Tributos a recuperar;5;2024;376,2
BP;1.02.01.10.03;Tributos a recuperar;5;2025;293,4
BP;1.02.01.10.04;Outros ativos;5;2023;357,7
BP;1.02.01.10.04;Outros ativos;5;2024;587,4
BP;1.02.01.10.04;Outros ativos;5;2025;1341,7
